============================================================
A股回测报告
回测日期: 2026-03-02
============================================================


────────────────────────────────────────────────────────────
策略: 少妇战法
────────────────────────────────────────────────────────────

股票代码      股票名称    买入日       买入价       卖出日       卖出价       收益率       收益金额        
300320    海达股份    03-06     11.07     03-17     11.07     +0.00     +0.00       
300511    雪榕生物    03-06     7.08      03-17     6.98      -1.41     -1410.00    
688056    莱伯泰科    03-06     37.41     03-17     35.91     -4.01     -3900.00    
300929    华骐环保    03-06     11.90     03-17     12.40     +4.20     +4200.00    
688017    绿的谐波    03-06     212.66    03-18     194.80    -8.40     -7144.00    
000401    金隅冀东    03-06     4.96      03-17     5.09      +2.62     +2613.00    
300398    飞凯材料    03-06     28.64     03-18     27.62     -3.56     -3468.00    
603989    艾华集团    03-09     18.51     03-18     18.15     -1.94     -1944.00    
002700    万憬能源    03-09     7.65      03-18     6.87      -10.20    -10140.00   
300861    美畅股份    03-09     17.38     03-18     17.32     -0.35     -342.00     
600356    恒丰纸业    03-09     9.65      03-18     9.23      -4.35     -4326.00    
002552    宝鼎科技    03-09     19.38     03-18     18.31     -5.52     -5457.00    
001278    一彬科技    03-09     24.24     03-18     22.66     -6.52     -6478.00    
603638    艾迪精密    03-09     21.70     03-18     21.34     -1.66     -1656.00    
000831    中国稀土    03-09     56.37     03-18     50.37     -10.64    -10200.00   
002806    华锋股份    03-09     15.74     03-18     15.34     -2.54     -2520.00    
603876    鼎胜新材    03-09     18.45     03-18     19.91     +7.91     +7884.00    
603612    索通发展    03-09     31.80     03-18     29.11     -8.46     -8339.00    
600966    博汇纸业    03-09     8.08      03-18     8.16      +0.99     +984.00     
000636    风华高科    03-09     23.39     03-18     22.50     -3.81     -3738.00    
688015    交控科技    03-09     24.58     03-18     23.77     -3.30     -3240.00    
688038    中科通达    03-09     21.67     03-18     21.40     -1.25     -1242.00    
688355    明志科技    03-09     21.27     03-18     21.75     +2.26     +2256.00    
688533    上声电子    03-09     31.05     03-18     27.89     -10.18    -10112.00   
002043    兔宝宝     03-09     15.85     03-18     15.82     -0.19     -189.00     
603281    江瀚新材    03-09     31.00     03-18     30.35     -2.10     -2080.00    
600763    通策医疗    03-09     47.00     03-18     44.48     -5.36     -5292.00    
002647    *ST仁    03-09     9.55      03-18     9.20      -3.66     -3640.00    
001373    翔腾新材    03-09     41.66     03-18     39.39     -5.45     -5448.00    
688200    华峰测控    03-09     256.00    03-18     269.98    +5.46     +4194.00    
002271    东方雨虹    03-09     16.71     03-18     15.72     -5.92     -5841.00    
002054    德美化工    03-09     9.67      03-18     9.15      -5.38     -5356.00    
600724    宁波富达    03-09     6.58      03-18     6.27      -4.71     -4681.00    
688277    天智航-    03-09     23.00     03-18     23.68     +2.96     +2924.00    
601139    深圳燃气    03-09     7.44      03-18     7.21      -3.09     -3082.00    
000959    首钢股份    03-09     5.43      03-18     5.08      -6.45     -6440.00    
300165    ST天瑞    03-09     5.38      03-18     5.55      +3.16     +3145.00    
300408    三环集团    03-09     56.92     03-18     56.11     -1.42     -1377.00    
600392    盛和资源    03-09     27.04     03-18     24.15     -10.69    -10404.00   
601339    百隆东方    03-09     6.99      03-18     7.41      +6.01     +6006.00    
601799    星宇股份    03-09     143.07    03-18     132.16    -7.63     -6546.00    
000680    山推股份    03-09     12.84     03-18     11.34     -11.68    -11550.00   
301198    喜悦智行    03-09     15.29     03-18     16.10     +5.30     +5265.00    
688216    气派科技    03-09     30.20     03-18     30.38     +0.60     +594.00     
300828    锐新科技    03-09     22.22     03-18     21.52     -3.15     -3150.00    
000059    华锦股份    03-09     6.37      03-18     5.78      -9.26     -9204.00    
603706    东方环宇    03-09     22.00     03-18     20.16     -8.36     -8280.00    
000415    渤海租赁    03-09     4.94      03-18     4.47      -9.51     -9494.00    
002296    辉煌科技    03-09     13.51     03-18     12.28     -9.10     -9102.00    
603282    亚光股份    03-09     22.24     03-18     21.37     -3.91     -3828.00    
688398    赛特新材    03-09     24.58     03-18     24.79     +0.85     +840.00     
300196    长海股份    03-09     18.42     03-18     18.40     -0.11     -108.00     
301395    仁信新材    03-09     15.07     03-18     16.08     +6.70     +6666.00    
300320    海达股份    03-09     11.01     03-18     11.28     +2.45     +2430.00    
600352    浙江龙盛    03-09     15.93     03-18     14.25     -10.55    -10416.00   
601233    桐昆股份    03-09     22.54     03-18     18.95     -15.93    -15796.00   
688017    绿的谐波    03-09     204.03    03-18     194.80    -4.52     -3692.00    
300398    飞凯材料    03-09     27.22     03-18     27.62     +1.47     +1440.00    
002552    宝鼎科技    03-10     19.63     03-19     17.35     -11.61    -11400.00   
603091    众鑫股份    03-10     81.11     03-19     75.60     -6.79     -6612.00    
600079    人福医药    03-10     19.51     03-19     18.91     -3.08     -3060.00    
002785    万里石     03-10     44.50     03-19     40.54     -8.90     -8712.00    
300440    运达科技    03-10     16.80     03-19     15.41     -8.27     -8201.00    
000159    国际实业    03-10     6.90      03-19     6.47      -6.23     -6192.00    
688015    交控科技    03-10     24.88     03-19     23.15     -6.95     -6920.00    
688038    中科通达    03-10     21.82     03-19     20.78     -4.77     -4680.00    
688355    明志科技    03-10     21.60     03-19     21.25     -1.62     -1610.00    
